2026-01-06 10:00:20 | INFO     | log:151 | [search_batch_stream] Batch stream search from: test_getUserProfile_2.xlsx
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_tables] Getting tables...
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_tables] Returning cached tables
2026-01-06 10:00:20 | DEBUG    | log:153 | [normalize_query] 'Xem thông tin cá nhân cơ bản của tôi...' -> 'Xem thông tin cá nhân cơ bản của tôi...'
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Xem thông tin cá nhân cơ bản của tôi] - formatted_query: [Xem thông tin cá nhân cơ bản của tôi] - normalized_query: [Xem thông tin cá nhân cơ bản của tôi]
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3147, max=76.4214
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem thông tin cá nhân cơ bản c...' | Doc: getUserProfile | Tra | Boost: 0.25 | Matched: ['thông tin cá nhân']
2026-01-06 10:00:20 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Xem thông tin cá nhân cơ bản c...' -> getUserProfile | Tra cứu thông (score=1)
2026-01-06 10:00:20 | DEBUG    | log:153 | [normalize_query] 'Cho tôi biết thông tin cá nhân của mình...' -> 'Cho tôi biết thông tin cá nhân của mình...'
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Cho tôi biết thông tin cá nhân của mình] - formatted_query: [Cho tôi biết thông tin cá nhân của mình] - normalized_query: [Cho tôi biết thông tin cá nhân của mình]
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0000, max=52.6901
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho tôi biết thông tin cá nhân...' | Doc: getUserProfile | Tra | Boost: 0.25 | Matched: ['thông tin cá nhân']
2026-01-06 10:00:20 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Cho tôi biết thông tin cá nhân...' -> getUserProfile | Tra cứu thông (score=1)
2026-01-06 10:00:20 | DEBUG    | log:153 | [normalize_query] 'Tôi muốn xem hồ sơ cá nhân của tôi...' -> 'Tôi muốn xem hồ sơ cá nhân của tôi...'
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Tôi muốn xem hồ sơ cá nhân của tôi] - formatted_query: [Tôi muốn xem hồ sơ cá nhân của tôi] - normalized_query: [Tôi muốn xem hồ sơ cá nhân của tôi]
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0202, max=55.7695
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tôi muốn xem hồ sơ cá nhân của...' | Doc: getUserProfile | Tra | Boost: 0.25 | Matched: ['hồ sơ cá nhân']
2026-01-06 10:00:20 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Tôi muốn xem hồ sơ cá nhân của...' -> getUserProfile | Tra cứu thông (score=1)
2026-01-06 10:00:20 | DEBUG    | log:153 | [normalize_query] 'Họ tên và ngày sinh của tôi là gì?...' -> 'Họ tên và ngày sinh của tôi là gì...'
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Họ tên và ngày sinh của tôi là gì?] - formatted_query: [Họ tên và ngày sinh của tôi là gì] - normalized_query: [Họ tên và ngày sinh của tôi là gì]
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0000, max=33.2991
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Họ tên và ngày sinh của tôi là...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['ngày']
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Họ tên và ngày sinh của tôi là...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['ngày']
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Họ tên và ngày sinh của tôi là...' | Doc: getUserProfile | Tra | Boost: 0.50 | Matched: ['họ tên', 'ngày sinh']
2026-01-06 10:00:20 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Họ tên và ngày sinh của tôi là...' -> getUserProfile | Tra cứu thông (score=2)
2026-01-06 10:00:20 | DEBUG    | log:153 | [normalize_query] 'Kiểm tra thông tin cá nhân đã đăng ký...' -> 'Kiểm tra thông tin cá nhân đã đăng ký...'
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Kiểm tra thông tin cá nhân đã đăng ký] - formatted_query: [Kiểm tra thông tin cá nhân đã đăng ký] - normalized_query: [Kiểm tra thông tin cá nhân đã đăng ký]
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.2456, max=65.1547
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Kiểm tra thông tin cá nhân đã ...' | Doc: getUserProfile | Tra | Boost: 0.25 | Matched: ['thông tin cá nhân']
2026-01-06 10:00:20 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Kiểm tra thông tin cá nhân đã ...' -> getUserProfile | Tra cứu thông (score=1)
2026-01-06 10:00:20 | DEBUG    | log:153 | [normalize_query] 'Tôi đã đăng ký thông tin cá nhân như thế...' -> 'Tôi đã đăng ký thông tin cá nhân như thế...'
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Tôi đã đăng ký thông tin cá nhân như thế nào?] - formatted_query: [Tôi đã đăng ký thông tin cá nhân như thế nào] - normalized_query: [Tôi đã đăng ký thông tin cá nhân như thế nào]
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3147, max=72.6523
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tôi đã đăng ký thông tin cá nh...' | Doc: getUserProfile | Tra | Boost: 0.25 | Matched: ['thông tin cá nhân']
2026-01-06 10:00:20 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Tôi đã đăng ký thông tin cá nh...' -> getUserProfile | Tra cứu thông (score=1)
2026-01-06 10:00:20 | DEBUG    | log:153 | [normalize_query] 'Xem profile cá nhân của tôi...' -> 'Xem profile cá nhân của tôi...'
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Xem profile cá nhân của tôi] - formatted_query: [Xem profile cá nhân của tôi] - normalized_query: [Xem profile cá nhân của tôi]
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0000, max=34.5920
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem profile cá nhân của tôi...' | Doc: getUserProfile | Tra | Boost: 0.50 | Matched: ['profile', 'xem profile']
2026-01-06 10:00:20 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Xem profile cá nhân của tôi...' -> getUserProfile | Tra cứu thông (score=2)
2026-01-06 10:00:20 | DEBUG    | log:153 | [normalize_query] 'Thông tin người dùng của tôi gồm những g...' -> 'Thông tin người dùng của tôi gồm những g...'
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Thông tin người dùng của tôi gồm những gì?] - formatted_query: [Thông tin người dùng của tôi gồm những gì] - normalized_query: [Thông tin người dùng của tôi gồm những gì]
2026-01-06 10:00:20 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.1577, max=23.5820
2026-01-06 10:00:20 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Thông tin người dùng của tôi g...' | Doc: getUserProfile | Tra | Boost: 0.25 | Matched: ['người dùng']
2026-01-06 10:00:20 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Thông tin người dùng của tôi g...' -> getUserProfile | Tra cứu thông (score=1)
2026-01-06 10:00:20 | DEBUG    | log:153 | [normalize_query] 'Cho tôi xem thông tin hồ sơ cá nhân...' -> 'Cho tôi xem thông tin hồ sơ cá nhân...'
