question,base_question,api
toàn bộ giao dịch đã thực hiện liền được không?,Tất cả giao dịch đã thực hiện,getTransactionList
Gấp Liệt kê danh sách trans nha,Liệt kê danh sách giao dịch,getTransactionList
tao rất cần DS chuyển khoản dc hk dạ,DS chuyển khoản,getTransactionList
lấy thử danh sách GD plz,Xem danh sách GD,getTransactionList
Gấp Tui muốn tất GD nha bạn cái,Tất cả GD,getTransactionList
Cho em Làm sao để Danh sách giao dịch của em,Danh sách giao dịch của tôi,getTransactionList
tra cứu toàn bộ các giao dịch đi nào dk asap,Xem tất cả các giao dịch,getTransactionList
Lấy đầy đủ GD với ạ,Tất cả GD,getTransactionList
Bạn có thể Tất cả trans đã thực hiện gấp đc k rồi,Tất cả giao dịch đã thực hiện,getTransactionList
Alo Xem list GD với bạn real quick,Xem danh sách GD,getTransactionList
ds CK của tôi nhanh vâng,Danh sách CK của tôi,getTransactionList
Yo Cho dò những GD đi nào pls,Danh sách GD,getTransactionList
Giúp tôi Gấp Danh sách transfer dc ko!,Danh sách chuyển tiền,getTransactionList
Liệt kê list giao dịhc nhé ạ coi,Liệt kê danh sách giao dịch,getTransactionList
Vui lòng tui muốn trans từ trước đến giờ dc ko hen,Giao dịch từ trước đến giờ,getTransactionList
Hey Có cách nào Transaction list,Transaction list,getTransactionList
Giúp t Xem danh sách GD ngay,Xem danh sách GD,getTransactionList
Tui cần đầy đủ giao dịch đã thực hiện gấp,Tất cả giao dịch đã thực hiện,getTransactionList
Hey Bro Full list GD ngân hàng được hông cái coi,Full list giao dịch,getTransactionList
Bạn có thể Giao Dịch Từ Trước Đến Giờ,Giao dịch từ trước đến giờ,getTransactionList
Nhanh Danh sách CK gấp,Danh sách CK của tôi,getTransactionList
Danh sách transaction của tôi nhé bạn được không,Danh sách giao dịch của tôi,getTransactionList
Có cách nào mở tất cả các giao dịch được không thế,Xem tất cả các giao dịch,getTransactionList
Các GD của tôi có được không giùm với,Các giao dịch của tôi,getTransactionList
Check All transactions ạ pls rồi,All transactions,getTransactionList
Nhanh ds GD dc hk asap,Danh sách GD,getTransactionList
Xin check ds GD giùm nhé,Xem danh sách GD,getTransactionList
Tôi muốn Full list LS GD với ạ please tí,Full list giao dịch,getTransactionList
