question,base_question,api
Nhanh Đã chi tiêu có bao nhiêu dc hk,Đã chi tiêu bao nhiêu,getTransactionHistory
Cho tui History chuyển với ạ bạn nha,History chuyển tiền,getTransactionHistory
Có cách nào Giùm mình ck các lần chuyển khoản real quick vâng,Xem các lần chuyển khoản,getTransactionHistory
Liệt kê các giao dịch trong tuần này với bạn?,Liệt kê các giao dịch trong tuần này,getTransactionHistory
Bro lịch sử GD ngân hàng gần đây đc k ngay luôn,Giao dịch gần đây,getTransactionHistory
Cho coi Biến động số dư có được không,Biến động số dư,getTransactionHistory
Các GD tháng này xem thử dc hk,Các giao dịch tháng này,getTransactionHistory
cek sao kê tài khoản có thể không cái coi,Xem sao kê tài khoản,getTransactionHistory
Cho tui Hey biết các gd tháng này liền với bạn,Cho tôi biết các giao dịch gần đây,getTransactionHistory
Khẩn Cho tui History banking transfer với bạn với ạ,History chuyển tiền,getTransactionHistory
Mình rất cần History chuyển tiền hén,History chuyển tiền,getTransactionHistory
Bro Lịch sử GD của t được không,Lịch sử GD của tôi,getTransactionHistory
Transaction history please hộ cái coi,Transaction history,getTransactionHistory
đọc history giao dịch cái coi nghen,Xem history giao dịch,getTransactionHistory
Làm thế nào để Gấp vui lòng LS GD của cháu được không,Lịch sử GD của tôi,getTransactionHistory
Bro Xem các lần c.k đi,Xem các lần chuyển khoản,getTransactionHistory
Vui lòng Cách nào để Lịch sử CK của chị giùm với!,Lịch sử CK của tôi,getTransactionHistory
Làm sao để Mở Xem sao kê tài khoản bank ha giúp,Xem sao kê tài khoản,getTransactionHistory
Lịch sử GD ct giùm với nha,Lịch sử GD của tôi,getTransactionHistory
tao cần Kiểm tra các khoản đã chi tiêu có được không,Kiểm tra các khoản đã chi tiêu,getTransactionHistory
Biến động số dư TK nha bạn hen,Biến động số dư,getTransactionHistory
Yo Xem lịch sử lịch sử GD của t nha ạ với coi,Xem lịch sử giao dịch của tôi,getTransactionHistory
Cách nào để Check lịch sử GD hôm nay được không hộ,Giao dịch hôm nay,getTransactionHistory
Cách nào để Đã CK cho ai please nhé,Đã chuyển tiền cho ai,getTransactionHistory
Tui muốn Cách nào để Sao kê transaction với bạn sao,Sao kê giao dịch,getTransactionHistory
Xem sao kê của tôi nha tí,Xem lịch sử giao dịch của tôi,getTransactionHistory
