question,base_question,api
cho biết balance tài khoản được không?,Xem số dư tài khoản,getAccountDetail
Cho mình cho biết chi tiết số dư tài khoản,Xem chi tiết số dư tài khoản,getAccountDetail
Vui lòng Số dư tài khoản của tui là bao nhiêu được không?,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Cho tôi Số dư tài khoản của tôi là bao nhiêu giúp với,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Tôi cần Xem số dư tài khoản được không,Xem số dư tài khoản,getAccountDetail
Được không nếu Có thể Cho biết số tài khoản,Cho biết số tài khoản,getAccountDetail
Cho tôi Số dư tài khoản của mình là bao nhiêu ạ,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Xem chi tiết balance tài khoản nhé ạ,Xem chi tiết số dư tài khoản,getAccountDetail
Mình muốn Số tài khoản của tui là gì với,Số tài khoản của tôi là gì,getAccountDetail
Được không nếu Tài khoản của tôi thuộc loại nào nha,Tài khoản của tôi thuộc loại nào,getAccountDetail
Cho Xem hạn mức thấu chi giúp với,Xem hạn mức thấu chi,getAccountDetail
Cho mình Làm ơn Xem chi tiết số dư tài khoản,Xem chi tiết số dư tài khoản,getAccountDetail
Kiểm tra chi tiết số dư được không,Kiểm tra chi tiết số dư,getAccountDetail
Cho em Cho mình Kiểm tra số dư,Kiểm tra số dư,getAccountDetail
em cần Mình muốn Cho biết số tài khoản,Cho biết số tài khoản,getAccountDetail
Giúp Xem hạn mức thấu chi ạ,Xem hạn mức thấu chi,getAccountDetail
Còn được bao nhiêu tiền trong tài khoản với giúp với,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
Mình muốn Số dư tài khoản là bao nhiêu,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Balance tài khoản của tôi ạ,Balance tài khoản của tôi,getAccountDetail
Trạng thái tài khoản của tôi giùm,Trạng thái tài khoản của tôi,getAccountDetail
Mình muốn balance tài khoản của tôi là bao nhiêu,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Làm ơn balance tài khoản của tôi là bao nhiêu được không,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Cho Trạng thái tài khoản của em,Trạng thái tài khoản của tôi,getAccountDetail
Tiền trong tài khoản còn bao nhiêu nhé được không,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Cho em Có thể Cho biết số tài khoản,Cho biết số tài khoản,getAccountDetail
Vui lòng Còn được bao nhiêu tiền trong tài khoản,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
Cho biết số tài khoản nhé,Cho biết số tài khoản,getAccountDetail
em muốn Tên sản phẩm tài khoản nha,Tên sản phẩm tài khoản,getAccountDetail
Giúp tôi Số tài khoản là gì giùm,Số tài khoản của tôi là gì,getAccountDetail
Giúp mình Mình muốn Còn bao nhiêu tiền trong tài khoản,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
Được không nếu Mình muốn Cho biết số tài khoản,Cho biết số tài khoản,getAccountDetail
Vui lòng Kiểm tra chi tiết số dư giúp với,Kiểm tra chi tiết số dư,getAccountDetail
Có thể Xem hạn mức thấu chi giúp với,Xem hạn mức thấu chi,getAccountDetail
xem chi tiết số dư?,Kiểm tra chi tiết số dư,getAccountDetail
Trạng thái tài khoản nhé,Trạng thái tài khoản của tôi,getAccountDetail
Số dư tài khoản là bao nhiêu nha,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
cần Chi nhánh mở tài khoản của giúp với,Chi nhánh mở tài khoản của tôi,getAccountDetail
muốn Xem chi tiết số dư tài khoản?,Xem chi tiết số dư tài khoản,getAccountDetail
Cho tôi Tài khoản của tui thuộc loại nào?,Tài khoản của tôi thuộc loại nào,getAccountDetail
Tôi muốn Loại tiền của tài khoản giùm,Loại tiền của tài khoản,getAccountDetail
Xem số dư tài khoản giúp với?,Xem số dư tài khoản,getAccountDetail
Mình muốn Tài khoản thuộc loại nào với,Tài khoản của tôi thuộc loại nào,getAccountDetail
Tôi cần Tiền trong tài khoản còn là gì nha,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Được không nếu Xem hạn mức thấu chi?,Xem hạn mức thấu chi,getAccountDetail
Cho em Tài khoản đang hoạt động không ạ,Tài khoản đang hoạt động không,getAccountDetail
tui cần hiển thị chi tiết số dư tài khoản,Xem chi tiết số dư tài khoản,getAccountDetail
Kiểm tra chi tiết số dư nha nhé,Kiểm tra chi tiết số dư,getAccountDetail
mình cần Mình muốn Loại tiền của tài khoản,Loại tiền của tài khoản,getAccountDetail
em muốn Tên sản phẩm tài khoản giùm,Tên sản phẩm tài khoản,getAccountDetail
Mình muốn Tài khoản của thuộc loại nào giùm,Tài khoản của tôi thuộc loại nào,getAccountDetail
Cho tôi Tài khoản của tôi thuộc loại nào?,Tài khoản của tôi thuộc loại nào,getAccountDetail
Làm ơn Số tài khoản của tôi là gì nhé,Số tài khoản của tôi là gì,getAccountDetail
Cho tôi Số dư tài khoản của tôi là là gì?,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Giúp mình Số dư tài khoản của mình là là gì,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Cho Balance tài khoản,Balance tài khoản của tôi,getAccountDetail
Tôi muốn Loại tài khoản của em là gì nhé,Loại tài khoản của tôi là gì,getAccountDetail
cho biết số dư tài khoản nhé,Xem số dư tài khoản,getAccountDetail
Cho mình Được không nếu Loại tài khoản của là gì,Loại tài khoản của tôi là gì,getAccountDetail
Được không nếu Mình muốn Loại tài khoản của tui là gì,Loại tài khoản của tôi là gì,getAccountDetail
Giúp mình Xem hạn mức thấu chi ạ,Xem hạn mức thấu chi,getAccountDetail
Chi nhánh mở tài khoản của tôi được không nha,Chi nhánh mở tài khoản của tôi,getAccountDetail
Giúp tôi Số dư tài khoản của tôi là bao nhiêu,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Cho mình Trạng thái tài khoản của tui ạ,Trạng thái tài khoản của tôi,getAccountDetail
Mình muốn Tài khoản của mình thuộc loại nào nha,Tài khoản của tôi thuộc loại nào,getAccountDetail
em cần Tiền trong tài khoản còn bao nhiêu nha,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Mình muốn Hạn mức thấu chi của tài khoản?,Hạn mức thấu chi của tài khoản,getAccountDetail
Giúp tui Mình muốn Cho biết số tài khoản,Cho biết số tài khoản,getAccountDetail
Cho mình Được không nếu Kiểm tra chi tiết số dư,Kiểm tra chi tiết số dư,getAccountDetail
Cho mình Làm ơn Balance tài khoản của tui,Balance tài khoản của tôi,getAccountDetail
Xem hạn mức thấu chi nhé giùm,Xem hạn mức thấu chi,getAccountDetail
tui cần Làm ơn Kiểm tra chi tiết số dư,Kiểm tra chi tiết số dư,getAccountDetail
Vui lòng Trạng thái tài khoản nhé,Trạng thái tài khoản của tôi,getAccountDetail
Được không nếu Số tài khoản là gì?,Số tài khoản của tôi là gì,getAccountDetail
Có thể xem chi tiết số dư,Kiểm tra chi tiết số dư,getAccountDetail
Mình muốn Làm ơn Balance tài khoản của tôi,Balance tài khoản của tôi,getAccountDetail
Tôi cần Kiểm tra chi tiết số dư?,Kiểm tra chi tiết số dư,getAccountDetail
Tôi cần Hạn mức thấu chi của tài khoản ạ,Hạn mức thấu chi của tài khoản,getAccountDetail
Xem hạn mức thấu chi ạ giùm,Xem hạn mức thấu chi,getAccountDetail
Có thể Kiểm tra chi tiết số dư nha,Kiểm tra chi tiết số dư,getAccountDetail
Xem hạn mức thấu chi được không nha,Xem hạn mức thấu chi,getAccountDetail
Cho tôi Kiểm tra số dư được không?,Kiểm tra số dư,getAccountDetail
em muốn Hạn mức thấu chi của tài khoản được không,Hạn mức thấu chi của tài khoản,getAccountDetail
Số dư tài khoản của tôi là được bao nhiêu giúp với giùm,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
tui muốn Được không nếu Tiền trong tài khoản còn bao nhiêu,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Làm ơn Được không nếu Trạng thái tài khoản của tui,Trạng thái tài khoản của tôi,getAccountDetail
Số tài khoản của tui là gì ạ,Số tài khoản của tôi là gì,getAccountDetail
Tiền trong tài khoản còn được bao nhiêu giùm nhé,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Cho em Được không nếu Kiểm tra số dư,Kiểm tra số dư,getAccountDetail
Cho mình Cho mình Trạng thái tài khoản của mình,Trạng thái tài khoản của tôi,getAccountDetail
Mình muốn Tài khoản của em thuộc loại nào,Tài khoản của tôi thuộc loại nào,getAccountDetail
Làm ơn Trạng thái tài khoản của tui?,Trạng thái tài khoản của tôi,getAccountDetail
Làm ơn Loại tiền của tài khoản giùm,Loại tiền của tài khoản,getAccountDetail
Cho tui Mình muốn Trạng thái tài khoản của tui,Trạng thái tài khoản của tôi,getAccountDetail
Có thể Balance tài khoản của,Balance tài khoản của tôi,getAccountDetail
Vui lòng Loại tài khoản của là gì nha,Loại tài khoản của tôi là gì,getAccountDetail
cần Tiền trong tài khoản còn bao nhiêu,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Giúp tôi Chi nhánh mở tài khoản của em nha,Chi nhánh mở tài khoản của tôi,getAccountDetail
Làm ơn Cho mình Balance tài khoản,Balance tài khoản của tôi,getAccountDetail
Có thể Loại tài khoản của em là gì,Loại tài khoản của tôi là gì,getAccountDetail
Có thể Kiểm tra số dư được không,Kiểm tra số dư,getAccountDetail
Làm ơn Xem hạn mức thấu chi nhé,Xem hạn mức thấu chi,getAccountDetail
tui muốn Làm ơn Xem số dư tài khoản,Xem số dư tài khoản,getAccountDetail
mình cần Có thể Loại tài khoản của mình là gì,Loại tài khoản của tôi là gì,getAccountDetail
Còn bao nhiêu tiền trong tài khoản giúp với,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
Mình muốn Làm ơn Tài khoản của mình thuộc loại nào,Tài khoản của tôi thuộc loại nào,getAccountDetail
Giúp em Tiền trong tài khoản còn là gì,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Tôi muốn Mình muốn Xem hạn mức thấu chi,Xem hạn mức thấu chi,getAccountDetail
Giúp em Được không nếu Tài khoản đang hoạt động không,Tài khoản đang hoạt động không,getAccountDetail
Giúp cho xem số tài khoản,Cho biết số tài khoản,getAccountDetail
cho biết số dư tài khoản giùm,Xem số dư tài khoản,getAccountDetail
balance tài khoản của tui là bao nhiêu,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Kiểm tra số dư giúp với nha,Kiểm tra số dư,getAccountDetail
Được không nếu Balance tài khoản của tui,Balance tài khoản của tôi,getAccountDetail
Cho tôi Có thể Chi nhánh mở tài khoản của em,Chi nhánh mở tài khoản của tôi,getAccountDetail
Trạng thái tài khoản của mình,Trạng thái tài khoản của tôi,getAccountDetail
tui muốn Tên sản phẩm tài khoản giùm,Tên sản phẩm tài khoản,getAccountDetail
Làm ơn Có thể Trạng thái tài khoản của em,Trạng thái tài khoản của tôi,getAccountDetail
Cho Cho mình Xem chi tiết số dư tài khoản,Xem chi tiết số dư tài khoản,getAccountDetail
Mình muốn Số tài khoản của em là gì giùm,Số tài khoản của tôi là gì,getAccountDetail
Giúp Loại tiền của tài khoản ạ,Loại tiền của tài khoản,getAccountDetail
Tôi muốn Cho biết số tài khoản nha,Cho biết số tài khoản,getAccountDetail
kiểm tra hạn mức thấu chi được không,Xem hạn mức thấu chi,getAccountDetail
Balance tài khoản với,Balance tài khoản của tôi,getAccountDetail
mình cần Chi nhánh mở tài khoản của mình giùm,Chi nhánh mở tài khoản của tôi,getAccountDetail
mình muốn Xem số dư tài khoản?,Xem số dư tài khoản,getAccountDetail
Số dư tài khoản của là là gì,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Còn là gì tiền trong tài khoản giùm nhé,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
tui muốn cho biết số dư tài khoản,Xem số dư tài khoản,getAccountDetail
Cho tôi Xem chi tiết số dư tài khoản giùm,Xem chi tiết số dư tài khoản,getAccountDetail
Giúp tui Balance tài khoản của tui ạ,Balance tài khoản của tôi,getAccountDetail
Số tài khoản của em là gì,Số tài khoản của tôi là gì,getAccountDetail
Tôi cần Còn là gì tiền trong tài khoản ạ,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
Xem balance tài khoản với với,Xem số dư tài khoản,getAccountDetail
Vui lòng Loại tài khoản của em là gì được không?,Loại tài khoản của tôi là gì,getAccountDetail
Tôi cần Kiểm tra chi tiết số dư với,Kiểm tra chi tiết số dư,getAccountDetail
Giúp tui Tiền trong tài khoản còn là gì,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Mình muốn balance tài khoản của tôi là bao nhiêu nhé,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Làm ơn Mình muốn Tiền trong tài khoản còn bao nhiêu,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Vui lòng Chi nhánh mở tài khoản của tôi,Chi nhánh mở tài khoản của tôi,getAccountDetail
Giúp Kiểm tra số dư được không,Kiểm tra số dư,getAccountDetail
Mình muốn Còn được bao nhiêu tiền trong tài khoản được không,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
Cho tôi Loại tiền của tài khoản nhé,Loại tiền của tài khoản,getAccountDetail
Tôi muốn Trạng thái tài khoản của tôi nha,Trạng thái tài khoản của tôi,getAccountDetail
Tôi muốn Được không nếu Tiền trong tài khoản còn bao nhiêu,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Mình muốn Làm ơn Chi nhánh mở tài khoản của tôi,Chi nhánh mở tài khoản của tôi,getAccountDetail
Vui lòng Cho mình Tài khoản đang hoạt động không,Tài khoản đang hoạt động không,getAccountDetail
cần Tài khoản đang hoạt động không được không?,Tài khoản đang hoạt động không,getAccountDetail
cho biết chi tiết balance tài khoản được không?,Xem chi tiết số dư tài khoản,getAccountDetail
Được không nếu Cho mình Chi nhánh mở tài khoản của tui,Chi nhánh mở tài khoản của tôi,getAccountDetail
tui cần Trạng thái tài khoản của em,Trạng thái tài khoản của tôi,getAccountDetail
Chi nhánh mở tài khoản của em?,Chi nhánh mở tài khoản của tôi,getAccountDetail
Vui lòng Trạng thái tài khoản của em,Trạng thái tài khoản của tôi,getAccountDetail
Có thể Tài khoản của tôi thuộc loại nào nha,Tài khoản của tôi thuộc loại nào,getAccountDetail
Giúp Chi nhánh mở tài khoản của mình,Chi nhánh mở tài khoản của tôi,getAccountDetail
cần Cho biết số tài khoản ạ,Cho biết số tài khoản,getAccountDetail
Chi nhánh mở tài khoản của ạ,Chi nhánh mở tài khoản của tôi,getAccountDetail
Trạng thái tài khoản của tôi được không nhé,Trạng thái tài khoản của tôi,getAccountDetail
Được không nếu Trạng thái tài khoản của mình?,Trạng thái tài khoản của tôi,getAccountDetail
Trạng thái tài khoản của tôi được không?,Trạng thái tài khoản của tôi,getAccountDetail
Xem số dư tài khoản nha,Xem số dư tài khoản,getAccountDetail
cần Cho mình Hạn mức thấu chi của tài khoản,Hạn mức thấu chi của tài khoản,getAccountDetail
mình cần Số dư tài khoản của em là bao nhiêu,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
cần Tiền trong tài khoản còn là gì,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Cho mình Loại tài khoản của em là gì với,Loại tài khoản của tôi là gì,getAccountDetail
Giúp tôi Xem balance tài khoản giúp với,Xem số dư tài khoản,getAccountDetail
Cho tôi Trạng thái tài khoản,Trạng thái tài khoản của tôi,getAccountDetail
Trạng thái tài khoản của mình giúp với,Trạng thái tài khoản của tôi,getAccountDetail
Có thể Chi nhánh mở tài khoản của mình,Chi nhánh mở tài khoản của tôi,getAccountDetail
Giúp mình Còn bao nhiêu tiền trong tài khoản giúp với,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
Giúp tôi Có thể Cho biết số tài khoản,Cho biết số tài khoản,getAccountDetail
